publication_date;nb
2020;2
2019;2
2018;0
2017;16
2016;41
2015;29
2014;14
2013;11
2012;15
2011;43
2010;97
2009;9
2008;17
2007;16
2006;19
2005;18
2004;12
2003;23
2002;52
2001;42
2000;17
1999;15
1998;13
1997;20
1996;11
1995;13
1994;17
1993;27
1992;3
1991;6
1990;13
1989;4
1988;4
1987;15
1986;16
1985;9
1984;20
1983;23
1982;22
1981;25
1980;12
1979;20
1978;34
1977;19
1976;11
1975;9
1974;18
1973;15
1972;12
1971;10
1970;7
1969;7
1968;12
1967;12
1966;5
1965;11
1964;10
1963;9
1962;4
1961;13
1960;12
1959;12
1958;18
1957;21
1956;4
1955;2
1954;4
1953;13
1952;4
1951;4
1950;6
1949;1
